"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"62800336-736f-3393-bd03-c31106741746","Die Hard",1988,"https://www.rottentomatoes.com/m/die_hard",236,"94%","94%"
"4f8b6242-5b0f-38a2-9972-dbd20a1943b7","No Country for Old Men",2007,"https://www.rottentomatoes.com/m/no_country_for_old_men",237,"93%","86%"
"3cc324e9-9a5e-39a1-9b2a-80545e719365","The Lion King",1994,"https://www.rottentomatoes.com/m/the_lion_king",238,"92%","93%"
"0ac76d77-1f07-3a1d-b784-14d416ba3d34","Gravity",2013,"https://www.rottentomatoes.com/m/gravity_2013",239,"96%","79%"
"3119450b-d76b-385a-90d0-b46f75ba4b7a","The Leopard",1963,"https://www.rottentomatoes.com/m/the_leopard_1963",240,"98%","89%"
"99226bae-f3bc-3481-b32c-ceb42649346c","Day for Night",1973,"https://www.rottentomatoes.com/m/day_for_night",241,"98%","91%"
"ee804d13-433f-356e-bb1d-a23f1935f3a8","Badlands",1973,"https://www.rottentomatoes.com/m/badlands",242,"97%","90%"
"8101f42e-f9fb-30fc-9748-2b4101638f27","Touch of Evil",1958,"https://www.rottentomatoes.com/m/touch_of_evil",243,"95%","92%"
"cffde6e2-20ff-3f9f-b49f-d176f18cfe9d","Yojimbo",1961,"https://www.rottentomatoes.com/m/yojimbo",244,"96%","96%"
"9caf27de-ff8c-39e5-8c07-e282b00cb858","A Streetcar Named Desire",1951,"https://www.rottentomatoes.com/m/1020333-streetcar_named_desire",245,"97%","90%"
"09f6b9f8-c5d1-3767-8b9d-3f6851f04def","Breathless",1959,"https://www.rottentomatoes.com/m/breathless",246,"96%","90%"
"4c01692b-e34d-3267-b8c3-5b74af15e693","The Manchurian Candidate",1962,"https://www.rottentomatoes.com/m/1013227-manchurian_candidate",247,"97%","90%"
"de778af0-f8bc-313f-80a4-a5331c1ff2e6","The French Connection",1971,"https://www.rottentomatoes.com/m/french_connection",248,"96%","87%"
"b41a1cf5-c300-3eb1-9d7c-6947d745e0f6","The Bourne Ultimatum",2007,"https://www.rottentomatoes.com/m/bourne_ultimatum",249,"92%","91%"
"1c40b172-f646-3e8b-b891-ee05d977271c","My Fair Lady",1964,"https://www.rottentomatoes.com/m/my_fair_lady",250,"95%","90%"
"f8b8311f-08ca-3e57-bdff-d2196fbd4a1c","It's a Wonderful Life",1946,"https://www.rottentomatoes.com/m/its_a_wonderful_life",251,"94%","95%"
"a4d5eb4a-6d7b-365e-b7ae-827702da9350","Some Like It Hot",1959,"https://www.rottentomatoes.com/m/some_like_it_hot",252,"95%","94%"
"5630261d-c19c-31ba-9efe-f4536f138309","The Fugitive",1993,"https://www.rottentomatoes.com/m/1046129-fugitive",253,"96%","89%"
"4865d1c4-d511-3596-b848-7d57f86841e6","Guardians of the Galaxy",2014,"https://www.rottentomatoes.com/m/guardians_of_the_galaxy",254,"92%","92%"
"69d320ba-3033-3826-939e-3e47c09bd001","Airplane!",1980,"https://www.rottentomatoes.com/m/airplane",255,"97%","89%"
"1b6117e6-c718-3d4f-9f56-5254c337e3c4","Groundhog Day",1993,"https://www.rottentomatoes.com/m/groundhog_day",256,"94%","88%"
"39ece18c-f702-34b8-8e5f-f9b11dc18e5a","This Is Spinal Tap",1984,"https://www.rottentomatoes.com/m/this_is_spinal_tap",257,"96%","92%"
"72722500-4d26-3984-81e9-a7defb63f766","Beauty and the Beast",1991,"https://www.rottentomatoes.com/m/beauty_and_the_beast_1991",258,"93%","93%"
"8022ebef-9df2-3393-ba24-ce8a716f9040","The Taking of Pelham One Two Three",1974,"https://www.rottentomatoes.com/m/the_taking_of_pelham_one_two_three",259,"98%","88%"
"ce4faf60-7493-3977-8054-f83d3edd66ce","City Lights",1931,"https://www.rottentomatoes.com/m/city_lights",260,"95%","96%"
"d0192523-8c26-302a-a11d-200cd231a586","Kiki's Delivery Service",1989,"https://www.rottentomatoes.com/m/kikis_delivery_service",261,"98%","88%"
"ad78d22c-a3c3-3731-b8b3-9de349093618","City of God",2002,"https://www.rottentomatoes.com/m/city_of_god",262,"91%","97%"
"41c77a5e-2f87-31b1-a99a-67eb79d29cbb","Rosemary's Baby",1968,"https://www.rottentomatoes.com/m/rosemarys_baby",263,"96%","87%"
"966000cb-dd10-38b5-8aa5-d8b167b4a580","Call Me by Your Name",2017,"https://www.rottentomatoes.com/m/call_me_by_your_name",264,"94%","86%"
"23e7fde3-a4d5-338c-8783-f3de6f791fd6","Aladdin",1992,"https://www.rottentomatoes.com/m/disneys_aladdin",265,"95%","92%"
